time,response_code,birth_year,postal_code,lat,long,city,ine_code
"2017-09-26 14:11:34,652",NO_3_DATA,,,,,,
"2017-09-26 14:11:35,267",NO_3_DATA,,,,,,
"2017-09-26 14:11:37,615",BAD_DATE,,,,,,
"2017-09-26 14:11:43,815",OK,,,,,,
"2017-09-26 14:11:49,371",NO_3_DATA,,,,,,
"2017-09-26 14:11:50,277",OK,,,,,,
"2017-09-26 14:11:58,963",OK,,,,,,
"2017-09-26 14:12:00,431",NO_3_DATA,,,,,,
"2017-09-26 14:12:13,301",NOT_FOUND,,,,,,
"2017-09-26 14:12:13,520",NO_3_DATA,,,,,,
"2017-09-26 14:12:13,744",NO_3_DATA,,,,,,
"2017-09-26 14:12:18,498",OK,,,,,,
"2017-09-26 14:12:19,655",NO_3_DATA,,,,,,
"2017-09-26 14:12:21,413",NO_3_DATA,,,,,,
"2017-09-26 14:12:22,215",NO_3_DATA,,,,,,
"2017-09-26 14:12:28,697",NO_3_DATA,,,,,,
"2017-09-26 14:12:35,377",NO_3_DATA,,,,,,
"2017-09-26 14:12:37,275",NOT_FOUND,,,,,,
"2017-09-26 14:12:40,101",NO_3_DATA,,,,,,
